Client,Throughput
3, 3.1348
4, 17.3913
5, 19.6078
6, 5.27704
7, 5.39291
8, 6.3593
9, 4.15896
10, 4.79846
13, 4.81125
15, 5.84795
18, 4.98891
20, 2.53325
21, 2.73117
22, 0.801457
23, 0.831826
24, 0.669643
27, 0.71257
30, 0.55702
